[2026-08-15 08:25:30,153] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455324K) : metal4_noqrc has 0 polygons
[2026-08-15 08:25:30,153] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455324K) : metal4_res has 0 polygons
[2026-08-15 08:25:30,154] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455452K) : metal4_iprobe has 0 polygons
[2026-08-15 08:25:30,154] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455452K) : metal4_diffprb has 0 polygons
[2026-08-15 08:25:30,155] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455580K) : heattrans_drw has 0 polygons
[2026-08-15 08:25:30,156] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455580K) : heatres_drw has 0 polygons
[2026-08-15 08:25:30,156] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455580K) : fbe_drw has 0 polygons
[2026-08-15 08:25:30,157] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455708K) : empoly_drw has 0 polygons
[2026-08-15 08:25:30,158] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455708K) : digisub_drw has 0 polygons
[2026-08-15 08:25:30,159] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455836K) : text_drw has 55 polygons
[2026-08-15 08:25:30,159] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455836K) : via4_drw has 0 polygons
[2026-08-15 08:25:30,160] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455964K) : metal5_drw has 0 polygons
[2026-08-15 08:25:30,162] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455964K) : metal5_filler has 0 polygons
[2026-08-15 08:25:30,163] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456092K) : metal5_slit has 0 polygons
[2026-08-15 08:25:30,163] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456092K) : metal5 has 0 polygons
[2026-08-15 08:25:30,164] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456220K) : metal5_pin has 0 polygons
[2026-08-15 08:25:30,164] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456220K) : metal5_mask has 0 polygons
[2026-08-15 08:25:30,165] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456348K) : metal5_nofill has 0 polygons
[2026-08-15 08:25:30,165] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456348K) : metal5_text has 0 polygons
[2026-08-15 08:25:30,166] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456348K) : metal5_OPC has 0 polygons
[2026-08-15 08:25:30,167] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456476K) : metal5_noqrc has 0 polygons
[2026-08-15 08:25:30,167] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456476K) : metal5_res has 0 polygons
[2026-08-15 08:25:30,168] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456604K) : metal5_iprobe has 0 polygons
[2026-08-15 08:25:30,168] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456604K) : metal5_diffprb has 0 polygons
[2026-08-15 08:25:30,169] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456732K) : radhard_drw has 0 polygons
[2026-08-15 08:25:30,169] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456732K) : memcap_drw has 0 polygons
[2026-08-15 08:25:30,170] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456860K) : varicap_drw has 0 polygons
[2026-08-15 08:25:30,171] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456860K) : intbondvia_drw has 0 polygons
[2026-08-15 08:25:30,171] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456860K) : intbondmet_drw has 0 polygons
[2026-08-15 08:25:30,172] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (456988K) : devbondvia_drw has 0 polygons
