16-Aug-2026 09:01:32 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
16-Aug-2026 09:01:32 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
16-Aug-2026 09:01:32 | INFO    | Running IHP-SG13G2 main checks on design /foss/designs/sar-adc/layout/oa_sar8_acore13.gds, topcell: oa_sar8_acore13
2026-08-16 09:01:42 +0200: Memory Usage (448052K) : graphcont_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448052K) : siwg_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448052K) : siwg_filler has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448180K) : siwg_nofill has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448180K) : sigrating_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448180K) : singrating_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448180K) : graphpas_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448308K) : emwind3_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448308K) : emwihv3_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448308K) : redbulay_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448436K) : smos_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448436K) : graphpad_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448436K) : polimide_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448436K) : polimide_pin has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448564K) : recog_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448564K) : recog_pin has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448564K) : recog_esd has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448692K) : recog_diode has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448692K) : recog_tsv has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448692K) : recog_iprobe has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448820K) : recog_diffprb has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448820K) : recog_pillar has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448820K) : recog_sbump has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448820K) : recog_otp has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448948K) : recog_pdiode has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448948K) : recog_mom has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448948K) : recog_pcm has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (448948K) : colopen_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449076K) : graphmetal1_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449076K) : graphmetal1_filler has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449204K) : graphmetal1_nofill has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449204K) : graphmetal1_slit has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449332K) : graphmetal1_opc has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449332K) : graphmet1l_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449332K) : graphmet1l_filler has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449460K) : graphmet1l_nofill has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449460K) : graphmet1l_slit has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449588K) : graphmet1l_opc has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449588K) : extblock_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449716K) : nldd_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449716K) : pldd_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449716K) : next_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449844K) : pext_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449844K) : nexthv_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449972K) : pexthv_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449972K) : graphgate_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (449972K) : sinwg_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450100K) : sinwg_filler has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450100K) : sinwg_nofill has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450228K) : mempad_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450228K) : topvia1_drw has 6 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450356K) : topmetal1_drw has 566 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450356K) : topmetal1_pin has 2 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450356K) : topmetal1_mask has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450484K) : topmetal1_filler has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450484K) : topmetal1_nofill has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450612K) : topmetal1_slit has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450612K) : topmetal1_text has 2 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450612K) : topmetal1_noqrc has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topmetal1_res has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topmetal1_iprobe has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topmetal1_diffprb has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : inldpwl_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : polyres_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : polyres_pin has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : vmim_drw has 946 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : nbulaycut_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : antmetal1_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topvia2_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topmetal2_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topmetal2_pin has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topmetal2_mask has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topmetal2_filler has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topmetal2_nofill has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topmetal2_slit has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topmetal2_text has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topmetal2_noqrc has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topmetal2_res has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topmetal2_iprobe has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : topmetal2_diffprb has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : snsring_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : sensor_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : snsarms_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : snscmosvia_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : colwind_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : flm_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : hafniumox_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (450740K) : memvia_drw has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : thinfilmres_drw has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : rfmem_drw has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_drw has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_m2m3 has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_m2m4 has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_m2m5 has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_m2tm1 has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_m2tm2 has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_m3m4 has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_m3m5 has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_m3tm1 has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_m3tm2 has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_m4m5 has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_m4tm1 has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_m4tm2 has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_m5tm1 has 0 polygons
2026-08-16 09:01:43 +0200: Memory Usage (450740K) : norcx_m5tm2 has 0 polygons
